"id","latitude","longitude","wsp"
324,38.9456,-18.0564,0.0581305
325,37.446,-21.911,0.0694448
326,35.8462,-25.6318,0.0802883
327,34.1552,-29.2227,0.0904524
328,32.3825,-32.6889,0.0997723
329,30.5371,-36.0371,0.108137
330,28.6281,-39.275,0.115487
331,26.6643,-42.4108,0.121815
332,24.6541,-45.4533,0.127163
333,22.6058,-48.4116,0.131618
334,20.5272,-51.2947,0.135305
335,18.4258,-54.112,0.138379
336,16.3089,-56.8728,0.141016
337,14.1835,-59.5863,0.143408
338,12.0565,-62.262,0.145752
339,38.019,-11.1643,0.0652563
340,36.7101,-15.0095,0.0745859
341,35.2978,-18.739,0.0837266
342,33.79,-22.3534,0.0924809
343,32.1945,-25.8551,0.100685
344,30.5197,-29.2479,0.10821
345,28.7735,-32.5368,0.11497
346,26.9641,-35.7279,0.120923
347,25.0991,-38.8277,0.126069
348,23.1864,-41.8434,0.130447
349,21.2331,-44.7825,0.134135
350,19.2465,-47.6527,0.137244
351,17.2335,-50.4618,0.139908
352,15.2005,-53.2178,0.142282
353,13.1541,-55.9286,0.144536
354,11.1004,-58.6025,0.146843
355,9.04552,-61.2476,0.149376
356,35.6328,-8.4508,0.0816428
357,34.3954,-12.1531,0.0890866
358,33.0606,-15.7556,0.096362
359,31.6352,-19.2583,0.103317
360,30.1265,-22.6629,0.109825
361,28.5415,-25.9724,0.115791
362,26.8875,-29.1907,0.121153
363,25.1716,-32.3227,0.125886
364,23.4006,-35.3737,0.129997
365,21.5813,-38.3497,0.133529
366,19.7203,-41.257,0.136552
367,17.824,-44.1022,0.139166
368,15.8983,-46.8919,0.141492
369,13.9493,-49.6329,0.143665
370,11.9827,-52.3322,0.145835
371,10.004,-54.9968,0.148155
372,8.01859,-57.6337,0.150781
373,6.03184,-60.25,0.15386
374,33.1868,-5.9051,0.0957065
375,32.012,-9.46879,0.101557
376,30.7455,-12.945,0.107257
377,29.3937,-16.3338,0.112689
378,27.963,-19.6366,0.117762
379,26.4599,-22.8558,0.122408
380,24.8908,-25.9949,0.126587
381,23.262,-29.0578,0.130289
382,21.5795,-32.0493,0.133532
383,19.8493,-34.9744,0.136359
