hr_a;hr_b
-7.343463178585432031e-05;-3.132774137931033653e-01
-7.343275454319506677e-05;-3.132772326336834556e-01
-7.343660578883595745e-05;-3.132869437781106714e-01
-7.343599947405875022e-05;-3.132827003998002735e-01
-7.343527762967373067e-05;-3.132815744627685528e-01
-7.343506698443354771e-05;-3.132827561219391765e-01
-7.343580055802300765e-05;-3.132821066966514634e-01
-7.343515557979034725e-05;-3.132820337331336802e-01
-7.343414929058007649e-05;-3.132824190404792097e-01
-7.343591520897866135e-05;-3.132824172913546978e-01
-7.343485071505395916e-05;-3.132817741129435007e-01
-7.343596070031074396e-05;-3.132828080959519923e-01
-7.343512836895929249e-05;-3.132813105947026000e-01
-7.343467199887196916e-05;-3.132828243378310562e-01
-7.343629317298762903e-05;-3.132821374312845797e-01
-7.343461622624033894e-05;-3.132827113943025266e-01
-7.343528474296876396e-05;-3.132813475762120103e-01
-7.343575563889676841e-05;-3.132826551724138264e-01
2.570457251956033461e-05;1.534634315342326416e-01
2.570173475418869140e-05;1.534523818090955116e-01
2.570438349410074310e-05;1.534642921039479080e-01
2.570060692113246585e-05;1.534522201399302344e-01
2.570388356573412861e-05;1.534642696151924945e-01
2.570217391551943246e-05;1.534527591204397357e-01
2.570397965977637758e-05;1.534640787106447413e-01
2.570106775600113736e-05;1.534511599200401311e-01
2.570463499620601771e-05;1.534636609195399182e-01
2.570375141615282530e-05;1.534642643678160445e-01
2.570188752100422953e-05;1.534533113443280194e-01
2.570151530403024410e-05;1.534532856071964824e-01
2.570476376896839563e-05;1.534640454772610851e-01
2.570382745720674490e-05;1.534638240879561688e-01
2.570146234132446951e-05;1.534534017991004140e-01
2.570201235554271833e-05;1.534590284857570985e-01
2.570307444190023970e-05;1.534587253873060664e-01
2.570306915267377186e-05;1.534588955522241394e-01
2.570299494635748888e-05;1.534582031484259257e-01
2.570385117234299073e-05;1.534591201899047908e-01
2.570217601811498239e-05;1.534580114942530327e-01
2.570260515265596459e-05;1.534590799600199784e-01
2.570272289482386472e-05;1.534585072463767463e-01
2.570393266146541017e-05;1.534587493753125642e-01
2.570133419437650450e-05;1.534591129435281809e-01
2.570448598521415831e-05;1.534584630184907261e-01
2.570192496943098792e-05;1.534585654672664390e-01
2.570397626703726127e-05;1.534584315342328587e-01
2.570228819219775245e-05;1.534590462268864974e-01
2.570281956016948072e-05;1.534587178910545302e-01
4.474298364443517038e-05;2.246234212893553073e-01
4.474122797911937179e-05;2.246129505247376756e-01
4.474270748395665887e-05;2.246243580709644805e-01
4.474096902017151968e-05;2.246129270364817521e-01
4.474261899495035497e-05;2.246240392303849032e-01
4.474220512016905245e-05;2.246133355822086397e-01
4.474285141953142836e-05;2.246241549225389822e-01
4.474109337771401925e-05;2.246115994502749236e-01
4.474298378874794121e-05;2.246238085957019404e-01
4.474379687971592273e-05;2.246244712643678254e-01
4.474059411951516313e-05;2.246137923538230052e-01
4.474038159020193666e-05;2.246136216891555515e-01
4.474355194372659199e-05;2.246240777111442599e-01
4.474330403408706555e-05;2.246237983508245217e-01
4.474092682884946224e-05;2.246140214892554110e-01
4.474295219304853642e-05;2.246191644177910895e-01
4.474165162190165079e-05;2.246188425787106480e-01
4.474157584429340923e-05;2.246193240879560404e-01
4.474275719108177326e-05;2.246185889555223081e-01
4.474168249712575399e-05;2.246193350824589319e-01
4.474328493385813262e-05;2.246186324337831330e-01
4.474197184998198417e-05;2.246191819090453401e-01
4.474124329115728463e-05;2.246184747626185918e-01
4.474283292869696120e-05;2.246187588705647886e-01
4.474173275256662858e-05;2.246193980509746668e-01
4.474180100691674418e-05;2.246191011994002062e-01
4.474282851374024582e-05;2.246184945027487334e-01
4.474210479048578397e-05;2.246190179910044493e-01
4.474223851604603152e-05;2.246188713143426330e-01
4.474180682971900651e-05;2.246192711144429921e-01
-1.649968240126866337e-05;5.468015342328845507e-02
-1.650182532957528191e-05;5.467041804097954455e-02
-1.649880990098970827e-05;5.468090554722620372e-02
-1.650293482273638705e-05;5.466993153423273938e-02
-1.649933531512613172e-05;5.468104022988524299e-02
-1.650113070038990647e-05;5.467005847076457370e-02
-1.649933755191872761e-05;5.468138255872051490e-02
-1.650234995841899980e-05;5.466881159420309416e-02
-1.649901110876427103e-05;5.468052723638179569e-02
-1.649912787075207866e-05;5.468132508745635056e-02
-1.650283905763346747e-05;5.467058370814584234e-02
-1.650118914817260213e-05;5.467130259870071896e-02
-1.650010027983511314e-05;5.468066966516723498e-02
-1.649838254666266890e-05;5.468068490754639938e-02
-1.650220497219639728e-05;5.467104922538718048e-02
-1.650050821515363703e-05;5.467609020489781757e-02
-1.650116182350219968e-05;5.467589830084932517e-02
-1.650036920109936798e-05;5.467586356821616672e-02
-1.650005451288555681e-05;5.467585807096410344e-02
-1.650094871079282172e-05;5.467602498750608747e-02
-1.650033664526200176e-05;5.467582933533272210e-02
-1.649985603544391817e-05;5.467605022488754296e-02
-1.650090991993321510e-05;5.467576086956511816e-02
-1.650082486239747638e-05;5.467566316841576679e-02
-1.650053148285622441e-05;5.467636406796613779e-02
-1.650036180746400515e-05;5.467596451774112132e-02
-1.650139888165687803e-05;5.467558120939541161e-02
-1.649989730489541775e-05;5.467577536231876811e-02
-1.650135641689547177e-05;5.467633983008475529e-02
-1.650017650833896218e-05;5.467594427786107852e-02
-1.230301148785202092e-04;-1.555063440779608508e-01
-1.230334372033051475e-04;-1.555159285357323451e-01
-1.230302781072942935e-04;-1.555053780609693126e-01
-1.230334550178998634e-04;-1.555163850574713680e-01
-1.230306059075133099e-04;-1.555056961519238612e-01
-1.230319984214222338e-04;-1.555160274862569803e-01
-1.230313387520743870e-04;-1.555049025487255931e-01
-1.230332116041079195e-04;-1.555181229385307617e-01
-1.230314886177263120e-04;-1.555057601199400230e-01
-1.230292914259584560e-04;-1.555047208895554145e-01
-1.230328942456041853e-04;-1.555155997001497759e-01
-1.230336565017086129e-04;-1.555156006996500362e-01
-1.230305833126750102e-04;-1.555054362818588110e-01
-1.230303432560496890e-04;-1.555053008495753952e-01
-1.230303432560496890e-04;-1.555053008495753952e-01
