sol_lon;latitude;insol
1;37.0;142.68918591262073
1;38.0;140.8357988930725
1;39.0;138.93951789019627
1;40.0;137.0009207833551
1;41.0;135.0205983624314
1;42.0;132.9991541499273
1;43.0;130.93720421944784
1;44.0;128.8353770106617
1;45.0;126.69431314084152
1;46.0;124.51466521309713
1;47.0;122.29709762142387
1;48.0;120.04228635270336
1;49.0;117.75091878580845
1;50.0;115.4236934879854
1;51.0;113.06132000870713
1;52.0;110.66451867122254
1;53.0;108.23402036206069
1;54.0;105.7705663187936
1;55.0;103.27490791641573
1;56.0;100.74780645276893
1;57.0;98.19003293352743
1;58.0;95.60236785737244
1;59.0;92.98560100212877
1;60.0;90.34053121282547
1;61.0;87.66796619288687
1;62.0;84.96872229998763
1;63.0;82.24362434853613
1;64.0;79.49350542133449
1;65.0;76.71920669375514
1;66.0;73.92157727486294
1;67.0;71.10147407142598
1;68.0;68.25976168289313
1;69.0;65.39731233846466
1;70.0;62.51500589180319
1;71.0;59.61372989544798
1;72.0;56.69437978676836
1;73.0;53.757859232243504
1;74.0;50.805080700217154
1;75.0;47.83696636966451
1;76.0;44.85444954394409
1;77.0;41.858476842503215
1;78.0;38.85001162556112
1;79.0;35.8300394379313
1;80.0;32.799576887628994
1;81.0;29.759686634674868
1;82.0;26.711503844730117
1;83.0;23.656285592918078
1;84.0;20.595510053504153
1;85.0;17.531095387913922
1;86.0;14.465948729730973
1;87.0;11.40562098937543
1;88.0;8.36499161599888
1;89.0;5.416738520756932
1;90.0;4.094432500996006
2;-90.0;0.0
2;-89.0;0.1798467220974316
2;-88.0;2.6381187836588285
2;-87.0;5.531038541148195
2;-86.0;8.518210470627347
2;-85.0;11.540265910202791
2;-84.0;14.577389036249558
2;-83.0;17.62065616135613
2;-82.0;20.66516534778454
2;-81.0;23.70778815276813
2;-80.0;26.746279471085757
2;-79.0;29.77887556249532
2;-78.0;32.80409402984168
2;-77.0;35.8206265548226
2;-76.0;38.827277853437515
2;-75.0;41.82292921928477
2;-74.0;44.8065158705202
2;-73.0;47.77701240398756
2;-72.0;50.73342319733649
2;-71.0;53.67477593266349
2;-70.0;56.60011714701496
2;-69.0;59.50850913271244
2;-68.0;62.399027756964045
2;-67.0;65.27076092013587
2;-66.0;68.12280746567716
2;-65.0;70.95427641457125
2;-64.0;73.76428643631284
2;-63.0;76.55196549448435
2;-62.0;79.31645062269065
2;-61.0;82.05688779880208
2;-60.0;84.77243189398871
2;-59.0;87.46224667908082
2;-58.0;90.12550487514194
2;-57.0;92.76138823830202
2;-56.0;95.36908767122516
